status_id,num_likes,first_page_comment,comments_beyond_pageone
163364503715353_1014037211981407,123,1,14
163364503715353_1508282336153390,0,0,0
163364503715353_1013920055326456,0,1,0
163364503715353_1013875121997616,0,2,0
163364503715353_1013788095339652,161,4,23
163364503715353_1013642848687510,66,0,10
163364503715353_1013619152023213,0,0,0
163364503715353_1013398192045309,0,1,0
163364503715353_1013388628712932,265,9,73
163364503715353_1013370055381456,99,24,14
163364503715353_1013306488721146,3,1,0
163364503715353_140402096314404,0,0,0
163364503715353_139233369765050,0,0,0
163364503715353_929761073757964,0,0,0
163364503715353_1013110275407434,1,3,0
163364503715353_1012837848768010,2,0,0
163364503715353_1012547212130407,0,2,0
163364503715353_1012542005464261,1,1,0
163364503715353_1012541352130993,103,1,6
163364503715353_750131645098508,0,0,0
163364503715353_1506576392990989,0,0,0
163364503715353_1012067332178395,0,0,0
163364503715353_1012066298845165,0,2,0
163364503715353_1012050825513379,0,0,0
163364503715353_1020964121287185,0,0,0
163364503715353_1506250973023531,0,0,0
163364503715353_1506250896356872,0,0,0
163364503715353_910080089071599,0,0,0
163364503715353_1020771014639829,0,0,0
163364503715353_1011507212234407,0,1,0
163364503715353_1011453718906423,575,3,68
163364503715353_563630657123955,0,0,0
163364503715353_1506227923025498,0,0,0
163364503715353_1506227669692190,0,0,0
163364503715353_1011201352264993,1,3,0
163364503715353_1011137462271382,241,9,17
163364503715353_1010859088965886,0,0,0
163364503715353_1010835555634906,2,2,0
163364503715353_432525920267733,1,1,0
163364503715353_897386890348050,0,0,0
163364503715353_1010757008976094,0,0,0
163364503715353_569626353195408,0,0,0
163364503715353_1010682392316889,150,5,5
163364503715353_1010403952344733,0,1,0
163364503715353_1010282635690198,187,8,22
163364503715353_1009997832385345,180,3,28
163364503715353_1009921272393001,1,1,0
163364503715353_1009647315753730,0,0,0
163364503715353_1009488522436276,104,3,0
163364503715353_188130291518817,1,0,0
163364503715353_1504565156525108,0,0,0
163364503715353_1009104779141317,0,0,0
163364503715353_1488742454786572,0,0,0
163364503715353_1009049275813534,0,0,0
163364503715353_867266226656539,0,0,0
163364503715353_1008879372497191,9,0,0
163364503715353_1008778982507230,3,1,0
163364503715353_1008720349179760,0,0,0
163364503715353_1008681692516959,1,0,0
163364503715353_1008668449184950,0,0,0
163364503715353_1008634955854966,1238,11,0
163364503715353_1008611029190692,0,2,0
163364503715353_1008441679207627,0,0,0
163364503715353_1008253155893146,0,1,0
163364503715353_1008193989232396,0,0,0
163364503715353_1008187239233071,0,0,0
163364503715353_1008158712569257,0,0,0
163364503715353_1008011042584024,4,0,0
163364503715353_1008003079251487,0,1,0
163364503715353_1007969539254841,1,2,0
163364503715353_1007968999254895,0,0,0
163364503715353_1007967519255043,0,0,0
163364503715353_1007955412589587,0,0,0
163364503715353_1007952052589923,0,0,0
163364503715353_1007943955924066,0,0,0
163364503715353_1007941882590940,0,0,0
163364503715353_1007910192594109,1,0,0
163364503715353_1007902365928225,168,13,0
163364503715353_1007887675929694,208,7,9
163364503715353_1007886989263096,0,0,0
163364503715353_1007878822597246,0,0,0
163364503715353_1007876589264136,1,0,0
163364503715353_1007872165931245,269,2,0
163364503715353_1007867045931757,0,0,0
163364503715353_1007850062600122,146,5,0
163364503715353_1007837479268047,0,0,0
163364503715353_1007834029268392,1,0,0
163364503715353_1007828239268971,0,0,0
163364503715353_1007810182604110,0,0,0
163364503715353_1007792762605852,54,2,1
163364503715353_1007783232606805,0,0,0
163364503715353_1007753189276476,0,1,0
163364503715353_1007522962632832,0,0,0
163364503715353_1007502342634894,0,0,0
163364503715353_1007500379301757,2,0,0
163364503715353_1007491129302682,3,0,0
163364503715353_1007489875969474,0,1,0
163364503715353_1007485192636609,1,0,0
163364503715353_1007478869303908,3,1,0
163364503715353_1007453999306395,1,0,0
163364503715353_1007450302640098,3,0,0
163364503715353_1007437725974689,3,0,0
163364503715353_1007435472641581,3,0,0
163364503715353_1007433449308450,3,0,0
163364503715353_1007431532641975,3,0,0
163364503715353_1007430475975414,2,0,0
163364503715353_1007409639310831,81,4,2
163364503715353_1007393012645827,8694,114,48
163364503715353_1007390209312774,65,7,3
163364503715353_1007379745980487,0,0,0
163364503715353_981635501877475,3,0,0
163364503715353_1007365162648612,0,0,0
163364503715353_1007361505982311,0,0,0
163364503715353_1007361285982333,0,0,0
163364503715353_409361772596625,1,0,0
163364503715353_1007327722652356,0,0,0
163364503715353_1007321699319625,1,2,0
163364503715353_1007314572653671,2,0,0
163364503715353_1007314552653673,1,0,0
163364503715353_1007294249322370,5,0,0
163364503715353_1007293289322466,1,0,0
163364503715353_1007292899322505,1,0,0
163364503715353_1007292379322557,1,0,0
163364503715353_1007290462656082,1,0,0
163364503715353_1007281092657019,0,0,0
163364503715353_722194867913557,5,0,0
163364503715353_1007279842657144,0,0,0
163364503715353_1007279379323857,2,0,0
163364503715353_1007274462657682,1,0,0
163364503715353_1071845149501966,2,0,0
163364503715353_1007243982660730,1,0,0
163364503715353_1007243265994135,1,0,0
163364503715353_1007152366003225,0,3,0
163364503715353_1007060646012397,2,0,0
163364503715353_1007060619345733,2,0,0
163364503715353_1007060522679076,0,0,0
163364503715353_1007060499345745,1,0,0
163364503715353_1007060332679095,1,0,0
163364503715353_1007060026012459,1,0,0
163364503715353_1007057496012712,0,0,0
163364503715353_1007052656013196,0,0,0
163364503715353_1007047419347053,0,0,0
163364503715353_1007046009347194,3,0,0
163364503715353_1007045026013959,2,0,0
163364503715353_1007019736016488,0,0,0
163364503715353_1007008869350908,0,0,0
163364503715353_1007007642684364,0,0,0
163364503715353_1007003192684809,0,1,0
163364503715353_1007002856018176,0,0,0
163364503715353_1006997842685344,0,0,0
163364503715353_1006995449352250,0,0,0
163364503715353_1006972246021237,132,17,11
163364503715353_737862359659004,0,0,0
163364503715353_1006949252690203,0,0,0
163364503715353_1501862753462353,0,0,0
163364503715353_1501862713462357,0,0,0
163364503715353_1501862680129027,0,0,0
163364503715353_1006907802694348,0,2,0
163364503715353_1006907396027722,0,1,0
163364503715353_1006606292724499,1,0,0
163364503715353_1006538269397968,0,1,0
163364503715353_1006455626072899,0,0,0
163364503715353_1006355159416279,0,0,0
163364503715353_900408813375017,0,0,0
163364503715353_758527597624391,0,0,0
163364503715353_758527494291068,0,0,0
163364503715353_1492765801048205,0,0,0
163364503715353_1910240245868010,1,0,0
163364503715353_1672637392950007,1,0,0
163364503715353_1005964962788632,0,0,0
163364503715353_478484525665292,0,0,0
163364503715353_1005896426128819,113114,370,655
163364503715353_1005892846129177,0,0,0
163364503715353_1005690642816064,0,1,0
163364503715353_1005411482843980,0,1,0
163364503715353_1005186876199774,136,6,15
163364503715353_1005118189539976,0,1,0
163364503715353_962940440436110,0,0,0
163364503715353_1004840502901078,0,1,0
163364503715353_1004787082906420,171,15,12
163364503715353_725013750937207,1,1,0
163364503715353_1004627796255682,133,8,0
163364503715353_10153486787350412,0,0,0
163364503715353_1004361819615613,1,1,0
163364503715353_138429646505126,0,0,0
163364503715353_1004240572961071,156241,220,562
163364503715353_1004190819632713,0,0,0
163364503715353_1620893021509885,1,0,0
163364503715353_1004159562969172,0,0,0
163364503715353_1003896499662145,1,0,0
163364503715353_1003629229688872,0,1,0
163364503715353_1003624356356026,302,539,96
163364503715353_1003615593023569,0,1,0
163364503715353_1003610639690731,0,1,0
163364503715353_1003588419692953,0,1,0
163364503715353_1003261306392331,95,8,0
163364503715353_1498932680422027,1,0,0
163364503715353_1003184409733354,124,9,23
163364503715353_536428186510728,0,0,0
